,ORIG_FID,OBJECTID *,NAME,BOROUGH,Long,Lat,Length,Width,Diameter,Radius
229,229,230,College,Southwark,-0.077124,51.435986,2528.540751,2528.465386,3575.843332,1788
230,230,231,Riverside,Southwark,-0.07109,51.500715,2655.122655,886.250152,2799.127658,1400
231,231,232,Village,Southwark,-0.086749,51.449781,2311.305193,1765.446041,2908.424216,1454
232,232,233,South Camberwell,Southwark,-0.083529,51.463184,1622.142568,1445.755884,2172.914307,1086
233,233,234,East Dulwich,Southwark,-0.073044,51.454837,1730.379929,914.690336,1957.261635,979
234,234,235,Peckham Rye,Southwark,-0.057541,51.455796,1952.832347,1802.850625,2657.785648,1329
235,235,236,Camberwell Green,Southwark,-0.095635,51.47709,1232.870939,1146.648746,1683.67874,842
236,236,237,Brunswick Park,Southwark,-0.085126,51.473737,1373.909009,1145.54764,1788.827929,894
237,237,238,The Lane,Southwark,-0.068916,51.468298,1705.174749,1402.884045,2208.099764,1104
238,238,239,Nunhead,Southwark,-0.054321,51.468021,2525.950126,991.644808,2713.629205,1357
239,239,240,Peckham,Southwark,-0.073191,51.477725,1785.390631,974.266785,2033.91629,1017
240,240,241,Newington,Southwark,-0.101333,51.486368,1549.668495,904.97706,1794.562878,897
241,241,242,Faraday,Southwark,-0.088348,51.484705,1135.528515,1050.581475,1546.979781,773
242,242,243,East Walworth,Southwark,-0.084704,51.488967,2475.686826,986.425943,2664.969306,1332
243,243,244,Livesey,Southwark,-0.060725,51.482398,2099.261979,1391.086333,2518.337158,1259
244,244,245,South Bermondsey,Southwark,-0.067045,51.489544,1248.372646,1042.623081,1626.498433,813
245,245,246,Cathedrals,Southwark,-0.10082,51.502447,2041.233832,1502.613089,2534.656121,1267
246,246,247,Grange,Southwark,-0.078823,51.496864,2122.081735,1038.023082,2362.355352,1181
247,247,248,Rotherhithe,Southwark,-0.051656,51.497391,1814.395936,1382.884394,2281.315818,1141
248,248,249,Surrey Docks,Southwark,-0.038295,51.500271,2028.822514,1326.955234,2424.238228,1212
249,249,250,Chaucer,Southwark,-0.090785,51.497952,1347.86776,1050.42029,1708.83887,854
250,250,251,Bellingham,Lewisham,-0.025051,51.427797,3512.198155,1723.936486,3912.479123,1956
251,251,252,Telegraph Hill,Lewisham,-0.04441,51.467499,2628.402971,1004.943754,2813.967684,1407
252,252,253,Downham,Lewisham,0.001649,51.424363,2645.275409,1652.136839,3118.819989,1559
253,253,254,Whitefoot,Lewisham,0.000225,51.433248,2495.772167,1737.514451,3041.02535,1521
254,254,255,Blackheath,Lewisham,0.001016,51.466669,2323.599145,1888.332725,2994.146534,1497
255,255,256,Sydenham,Lewisham,-0.056755,51.427466,2496.45834,1221.142396,2779.117305,1390
256,256,257,Forest Hill,Lewisham,-0.058118,51.440544,2571.265717,1188.573284,2832.686682,1416
257,257,258,Perry Vale,Lewisham,-0.044415,51.436388,1533.663342,1427.38228,2095.123724,1048
258,258,259,Rushey Green,Lewisham,-0.020621,51.445939,2150.185005,1400.367708,2565.994013,1283
259,259,260,Catford South,Lewisham,-0.008656,51.439343,2121.983254,1177.216305,2426.654314,1213
260,260,261,Crofton Park,Lewisham,-0.038745,51.449225,2173.467888,1316.701464,2541.193697,1271
261,261,262,Ladywell,Lewisham,-0.025529,51.459002,1656.875973,1573.113346,2284.71521,1142
262,262,263,Lewisham Central,Lewisham,-0.009588,51.455989,2905.244672,1752.734742,3393.0113,1697
263,263,264,Brockley,Lewisham,-0.030204,51.469233,1675.887488,1541.183799,2276.806179,1138
264,264,265,New Cross,Lewisham,-0.039985,51.479659,2714.586521,1337.978246,3026.411368,1513
265,265,266,Grove Park,Lewisham,0.023275,51.435912,3260.676861,1370.729405,3537.076857,1769
266,266,267,Lee Green,Lewisham,0.007099,51.452496,2200.457676,1319.982689,2566.002393,1283
267,267,268,Evelyn,Lewisham,-0.035017,51.48641,2068.899256,1564.316314,2593.728911,1297
268,268,269,Middle Park and Sutcliffe,Greenwich,0.028124,51.451515,3359.60035,2159.12571,3993.587152,1997
269,269,270,Coldharbour and New Eltham,Greenwich,0.059642,51.433597,2500.166007,1639.742881,2989.914176,1495
270,270,271,Eltham South,Greenwich,0.068983,51.446777,2940.505412,2664.950693,3968.442298,1984
271,271,272,Shooters Hill,Greenwich,0.075142,51.471421,2788.831278,2147.058745,3519.579684,1760
272,272,273,Peninsula,Greenwich,0.010608,51.493024,2804.24633,2707.138166,3897.742235,1949
273,273,274,Woolwich Riverside,Greenwich,0.052424,51.492351,3443.510013,1481.518297,3748.68746,1874
274,274,275,Greenwich West,Greenwich,-0.008822,51.47791,2297.184685,2165.313776,3156.840386,1578
275,275,276,Eltham West,Greenwich,0.036723,51.458943,2277.299824,1634.982509,2803.437585,1402
276,276,277,Blackheath Westcombe,Greenwich,0.016694,51.474705,2324.863556,1429.442297,2729.156616,1365
277,277,278,Kidbrooke with Hornfair,Greenwich,0.039177,51.471052,1877.229637,1825.345614,2618.373106,1309
278,278,279,Eltham North,Greenwich,0.061129,51.458758,2540.869735,1889.401347,3166.363286,1583
279,279,280,Charlton,Greenwich,0.03548,51.48206,2016.346252,1648.304032,2604.334539,1302
280,280,281,Woolwich Common,Greenwich,0.061062,51.480878,2465.666959,1710.508728,3000.892144,1500
281,281,282,Plumstead,Greenwich,0.098792,51.483659,2514.089257,1657.12917,3011.099779,1506
282,282,283,Glyndon,Greenwich,0.080979,51.488509,2377.152242,1268.702942,2694.524065,1347
283,283,284,Thamesmead Moorings,Greenwich,0.100482,51.502935,3247.290962,1960.327501,3793.123054,1897
284,284,285,Abbey Wood,Greenwich,0.113616,51.488238,2696.5231,1431.562957,3052.967299,1526
285,285,286,Longlands,Bexley,0.093918,51.427194,3400.856589,1383.201452,3671.385542,1836
286,286,287,Blackfen and Lamorbey,Bexley,0.091723,51.445502,2143.483919,1315.698512,2515.071746,1258
287,287,288,Cray Meadows,Bexley,0.133513,51.42352,3430.056656,3086.546887,4614.332059,2307
288,288,289,Sidcup,Bexley,0.105707,51.434011,2343.538332,2131.744336,3168.04448,1584
289,289,290,St. Mary's,Bexley,0.146409,51.439597,3605.211854,1929.700587,4089.168237,2045
290,290,291,Crayford,Bexley,0.18191,51.453159,3044.548626,1805.914403,3539.859202,1770
291,291,292,North End,Bexley,0.198999,51.473368,3384.439445,2473.67419,4192.075185,2096
292,292,293,Erith,Bexley,0.169605,51.488121,3244.557202,2546.561488,4124.57596,2062
293,293,294,Belvedere,Bexley,0.151271,51.493435,3541.034251,1447.721948,3825.548641,1913
294,294,295,Thamesmead East,Bexley,0.135696,51.503444,2693.169871,2394.016433,3603.398207,1802
295,295,296,Falconwood and Welling,Bexley,0.096416,51.458119,1973.2832,1597.733834,2539.015556,1270
296,296,297,East Wickham,Bexley,0.09698,51.468115,2360.64526,1380.966893,2734.906873,1367
297,297,298,Blendon and Penhill,Bexley,0.11696,51.446014,2947.797096,1224.591288,3192.041908,1596
298,298,299,Danson Park,Bexley,0.118156,51.457113,2120.214827,1707.845236,2722.507349,1361
299,299,300,Christchurch,Bexley,0.140969,51.455134,2123.702384,1926.860035,2867.560184,1434
300,300,301,St. Michael's,Bexley,0.118435,51.470512,1709.337419,1066.054524,2014.523929,1007
301,301,302,Brampton,Bexley,0.139193,51.468236,2374.512731,1349.647061,2731.274043,1366
302,302,303,Northumberland Heath,Bexley,0.152196,51.474878,2287.894479,1254.927303,2609.464252,1305
303,303,304,Barnehurst,Bexley,0.161835,51.457658,2625.968627,2126.594408,3379.070139,1690
304,304,305,Colyers,Bexley,0.170375,51.469995,1671.423444,1535.915144,2269.954109,1135
305,305,306,Lesnes Abbey,Bexley,0.129925,51.484304,2691.080025,1415.665651,3040.727041,1520
306,306,307,Chase,Enfield,-0.102267,51.677252,7915.660438,3167.642527,8525.939206,4263
307,307,308,Winchmore Hill,Enfield,-0.104806,51.630105,2340.608098,2005.809604,3082.485756,1541
308,308,309,Cockfosters,Enfield,-0.149938,51.660874,5598.803525,3287.076953,6492.416792,3246
309,309,310,Highlands,Enfield,-0.109547,51.657459,2894.283153,2736.924357,3983.419374,1992
310,310,311,Upper Edmonton,Enfield,-0.065448,51.611147,4388.399583,865.85598,4473.003183,2237
311,311,312,Palmers Green,Enfield,-0.099472,51.619142,2483.857301,1358.973551,2831.317044,1416
312,312,313,Edmonton Green,Enfield,-0.053719,51.6187,3175.26255,1562.9789,3539.095266,1770
313,313,314,Lower Edmonton,Enfield,-0.044842,51.626205,2951.696362,1195.816843,3184.727514,1592
314,314,315,Grange,Enfield,-0.091439,51.644188,2393.046605,2097.984632,3182.485125,1591
315,315,316,Jubilee,Enfield,-0.040704,51.63463,3553.505204,1620.506026,3905.565134,1953
316,316,317,Ponders End,Enfield,-0.033241,51.644492,3015.568783,1520.490463,3377.209844,1689
317,317,318,Enfield Highway,Enfield,-0.030091,51.657844,2799.951578,2185.189861,3551.729659,1776
318,318,319,Bowes,Enfield,-0.109361,51.611349,3427.02699,845.526607,3529.79167,1765
319,319,320,Southgate Green,Enfield,-0.126556,51.618782,2395.851132,1830.200431,3014.918948,1507
320,320,321,Southgate,Enfield,-0.123011,51.636218,3154.974715,1640.858467,3556.161127,1778
321,321,322,Haselbury,Enfield,-0.074463,51.624077,2292.865624,1297.238914,2634.39966,1317
322,322,323,Bush Hill Park,Enfield,-0.078433,51.635228,2887.475428,1465.756255,3238.202549,1619
323,323,324,Town,Enfield,-0.078195,51.659113,2125.242591,1624.448659,2674.974676,1337
324,324,325,Southbury,Enfield,-0.060951,51.652993,2677.556285,1864.694317,3262.881021,1631
325,325,326,Turkey Street,Enfield,-0.045682,51.673901,2517.852529,1175.124153,2778.578437,1389
326,326,327,Enfield Lock,Enfield,-0.023406,51.673093,2325.081604,2043.904346,3095.730841,1548
327,327,328,Leyton,Waltham Forest,-0.015976,51.56186,1988.832658,1830.029796,2702.677264,1351
328,328,329,High Street,Waltham Forest,-0.044605,51.580447,3059.212269,1784.342435,3541.561468,1771
329,329,330,Higham Hill,Waltham Forest,-0.03739,51.597645,2834.631638,1637.316249,3273.521196,1637
330,330,331,Valley,Waltham Forest,-0.024405,51.612858,2434.472681,1319.2539,2768.95072,1384
331,331,332,Chingford Green,Waltham Forest,0.005255,51.635792,2879.813406,1801.862845,3397.062697,1699
332,332,333,Cathall,Waltham Forest,0.000286,51.556492,1926.931628,963.731572,2154.493918,1077
333,333,334,Lea Bridge,Waltham Forest,-0.032472,51.568408,2945.471003,1483.000204,3297.739989,1649
